Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,Total - all NACE activities,3486057050,3128215271,3229930420,3160628038,3092152640,2990984292,2891429768,2912985126,2870589290,2885062205
Belgium,Total - all NACE activities,88785961,77222307,82672541,76909727,74870321,74347355,71884234,73974071,72652985,72270468
Bulgaria,Total - all NACE activities,51813163,43730706,45687245,50841763,46045130,40567796,43129551,45657281,42749192,44901192
Czechia,Total - all NACE activities,99572162,91406649,93577574,90720828,86619906,82597058,81923240,80726984,82585877,82593075
Denmark,Total - all NACE activities,86029757,79711707,78061260,76453850,70136414,68290121,63441201,63706971,68465015,67379945
Germany,Total - all NACE activities,725369502,658761097,696776765,683724840,690589462,699356715,676142720,675823168,674928492,664315442
Estonia,Total - all NACE activities,17698814,14273974,18800913,18332187,17639692,19426077,18608815,15490886,17313984,18186109
Ireland,Total - all NACE activities,32621979,27834009,35032905,32792761,34023937,31511414,32408372,34410152,36933077,37595000
Greece,Total - all NACE activities,89200864,82101958,77284845,74408187,74804091,67104382,64270515,59723120,56293065,59497786
Spain,Total - all NACE activities,276979356,238896478,225758925,232377403,230872182,203999630,207497202,223218603,207680491,216862396
France,Total - all NACE activities,282832365,260044275,268037047,255057717,250138938,250356796,230475278,230802220,227931327,234656328
Croatia,Total - all NACE activities,18164982,16326878,15773976,15554541,14215640,13890121,13170531,12996753,13082952,13231377
Italy,Total - all NACE activities,372256109,315253687,322746571,315647217,296642749,269178471,259346416,265166039,260113630,258123661
Cyprus,Total - all NACE activities,7555481,7267057,6868869,6301431,5693094,5091094,5433129,5247919,5602606,5782831
Latvia,Total - all NACE activities,8474233,7129625,8535859,7574751,7212679,6976240,6766727,7084943,6860105,6908160
Lithuania,Total - all NACE activities,15080833,12395841,13437679,14468205,14661520,14239393,15177559,15224005,16728876,17325736
Luxembourg,Total - all NACE activities,7396379,7413564,7509760,6700234,6716366,6712061,6762310,7577492,7426697,7422437
Hungary,Total - all NACE activities,44223976,38851763,39517995,39076075,36104979,34229884,34674188,36510067,36152551,38029761
Malta,Total - all NACE activities,3402593,3376531,3671255,3625400,3664461,3338506,3400698,3014038,2800711,2848399
Netherlands,Total - all NACE activities,155370430,149666320,157561887,150139920,146107477,145025170,145678623,151809914,151053953,149105257
Austria,Total - all NACE activities,56657850,50859564,54738459,54034275,47286183,46713820,43508710,48796498,45497118,47220090
Poland,Total - all NACE activities,289278003,274349878,287940340,291898708,283347265,278969456,270070028,273469398,282248793,289204168
Portugal,Total - all NACE activities,52714500,48773900,43812900,43483200,42640600,40977100,41201400,45375600,43657500,48867073
Romania,Total - all NACE activities,93021114,73527184,72457986,77886044,73796872,65314498,65799573,66778223,63737269,66513755
Slovenia,Total - all NACE activities,15371890,13815990,13747500,13933384,13349641,12869493,11490613,11632601,12116671,12058154
Slovakia,Total - all NACE activities,36086929,32261106,32500479,32776952,30426096,29886643,28380068,28490491,28700896,29301408
