Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,Total - all NACE activities,19292542.07,18830365.41,18379418.77,18082227.25,17884888.96,17462076.91,17252695.75,17231081.55,17034697.6,16961070.71
Belgium,Total - all NACE activities,345571.61,342463.74,339214.72,331925.06,325018.3,317771.37,317770.82,314558.13,310792.45,310785.82
Bulgaria,Total - all NACE activities,106853.14,98405.49,101911.63,111036.86,102917.57,86159.21,89416.03,91245.52,86770.74,83728.08
Czechia,Total - all NACE activities,578564.3,564280.39,572262.01,571681.73,581650.59,559385.36,558169.48,561095.72,549193.01,539075.35
Denmark,Total - all NACE activities,291078.68,285904.74,288444.86,282907.87,278294.14,274454.5,275214.37,272126.4,277063.74,278625.59
Germany,Total - all NACE activities,2390025.64,2299076.14,2256033.73,2216829.21,2247221.13,2219366.57,2178948.9,2167549.2,2116108.51,2101331.83
Estonia,Total - all NACE activities,42327.93,41257.88,42341.35,40261.75,40789.99,40620.95,39082.76,37591.66,37428.16,37962.71
Ireland,Total - all NACE activities,498463.44,482969.24,473381.02,472547.57,484693.23,497539.04,510738.68,525941.24,541672.55,555509.88
Greece,Total - all NACE activities,440143.7,426684.54,433350.25,426371.04,419778.9,410857.09,402836.21,395795.96,382628.62,387215.96
Spain,Total - all NACE activities,1509163.18,1566599.34,1478386.83,1492812.01,1452462.48,1411868.85,1390086.89,1449934.86,1453806.55,1467558.51
France,Total - all NACE activities,2361033.69,2322195.24,2306561.88,2275486.03,2216274.89,2193268.54,2200530.06,2169300.64,2114428.48,2100630.92
Croatia,Total - all NACE activities,138784.28,142100.84,143202.7,143190.64,139438.42,136512.75,136298.01,142854.38,143351.91,143946.73
Italy,Total - all NACE activities,1768645.06,1774282.02,1763045.86,1732378.09,1730053.72,1663341.79,1640005.65,1630897.6,1623799.26,1607507.11
Cyprus,Total - all NACE activities,32088.82,32080.22,32398.68,32544.57,32077.46,31830.01,31834.95,32449.71,33611.23,33476.86
Latvia,Total - all NACE activities,68323.59,66958.65,67761.87,65669.72,68063.74,70057.47,72743.77,70226.77,71514.8,70465.37
Lithuania,Total - all NACE activities,145557.79,141208.41,139898.87,133334.31,133685.04,131031.58,131584.58,129596.64,125622.15,124415.85
Luxembourg,Total - all NACE activities,24721.31,24767.98,24813.26,23872.8,23484.09,23658.12,24159.33,24395.17,24537.53,24887.77
Hungary,Total - all NACE activities,306813.13,300612.8,297444.85,289319.35,287812.37,278391.04,278947.36,276675.03,276793.55,281271.99
Malta,Total - all NACE activities,5797.94,6409.83,7139.86,6656.28,6579.55,6156.98,6807.83,7094.04,7604.58,7818.22
Netherlands,Total - all NACE activities,773635.46,763715.46,759460.59,740494.87,724469.74,722833.51,710638.67,717765.16,723217.6,699126.54
Austria,Total - all NACE activities,287961.35,284687.14,279743.7,272605.25,267751.27,263372.01,259388.44,255739.64,252926.68,250161.44
Poland,Total - all NACE activities,1829327.67,1781336.86,1764149.61,1733111.64,1718861.84,1733382.29,1725613.37,1753246.18,1725346.78,1741650.12
Portugal,Total - all NACE activities,458518.4,451053.1,452025,457909.5,448726.7,440928.8,436179,433874.9,433716.3,433281.75
Romania,Total - all NACE activities,1303900.22,1241815.31,1156028.29,1139844.22,1161906.29,1149957.71,1148350.16,1144149.82,1102711.44,1064403.06
Slovenia,Total - all NACE activities,88210,84924.15,83753.89,83348.56,81563.9,79085.4,76322.92,78258.53,79512.86,78619.29
Slovakia,Total - all NACE activities,186255.75,176680.2,178881.94,181499.78,166157.85,171651.77,163635.86,168234.93,169928.97,161033.66
Finland,Total - all NACE activities,206562.29,204126.93,206207.23,200884.82,198394.31,193614.17,189626.96,188149.09,182172.61,175909.18
Sweden,Total - all NACE activities,216723.85,210290.83,205640.23,200104.23,193969.08,191247.53,186428.23,182217.53,179337.75,176425.25
United Kingdom,Total - all NACE activities,2887489.86,2713477.93,2525934.05,2423599.49,2352792.36,2163732.5,2071336.45,2010117.09,2009098.78,2024245.88
