Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28,Total - all NACE activities,852120.92,801511.59,766673.43,755670.4,745561.83,744966.82,755054.37,753277.69,749239.03,758060.52
Belgium,Total - all NACE activities,23172.11,23555.91,25337.61,21350.37,21124.18,20682.14,21072.45,20545.49,19498.62,19750.56
Bulgaria,Total - all NACE activities,9990.41,8767.55,9843.53,9041.17,9089.63,9713.75,8769.24,8922.7,9533.76,9456.07
Czechia,Total - all NACE activities,16732.05,15492.82,14877.95,15617.99,15026.78,14937.38,15708,15718.31,16417.56,16342.64
Denmark,Total - all NACE activities,19327.23,18501.98,18130.13,18239.15,17889.1,17689.27,18174.78,18181.88,18650.81,18704.38
Germany,Total - all NACE activities,151338.95,148418.77,121375.07,125690.16,123621.79,125345.31,127603.51,129384.08,126397.85,126765.12
Estonia,Total - all NACE activities,2519.65,2362.1,2413.62,2429.3,2612.76,2608.58,2757.71,2859.3,2734.77,2755.56
Ireland,Total - all NACE activities,20906.33,20328.6,21468.44,20059.33,20623.74,22069.99,21539.94,21554.49,21983.2,22946.72
Greece,Total - all NACE activities,18451,17315.52,18043.79,17330.76,15936.73,14979.56,14295.54,14072.02,14204.16,13309.37
Spain,Total - all NACE activities,52465.1,52006.36,53056.97,50194.17,48605.82,50251.83,52593.96,52997.38,51847.93,54027.89
France,Total - all NACE activities,150327.61,145525.9,137668.62,132709.37,133107.83,132162.46,136465.59,135531.66,132619.05,132859.13
Croatia,Total - all NACE activities,8141.39,7384.87,7630.69,7871.07,7375.14,5630.94,5379.45,5773.79,5389.36,5105.82
Italy,Total - all NACE activities,63053.9,59511.63,57127.19,56732.5,57684.88,54638.41,53532.5,53129.26,54324.41,54705.91
Cyprus,Total - all NACE activities,912.73,900.44,951.97,895.69,867,782.72,767.19,789.74,814.88,816.09
Latvia,Total - all NACE activities,5573.02,5580.55,5690.95,5643.6,5867.28,5923.56,6040.6,6260.3,6219.08,6272.68
Lithuania,Total - all NACE activities,17429.87,10439.1,10180.58,11349.75,10744.72,9981.13,10504.61,10445.97,10031.08,10140.04
Luxembourg,Total - all NACE activities,1031.9,1028.64,1030.36,1029.24,978.9,1004.47,1001.21,1037.91,1059.43,999.24
Hungary,Total - all NACE activities,12770.89,11802.69,11561.03,12209.27,11997.69,13179.25,13662.95,13955.92,14474.07,15217.78
Malta,Total - all NACE activities,175.19,164.85,164.72,143.27,143.4,139.26,139.81,137.85,135.47,138
Netherlands,Total - all NACE activities,29119.88,28385.37,27406.97,26835.4,26286.51,26975.16,27444.51,28345.1,27505,28967.99
Austria,Total - all NACE activities,11914.58,11160.88,10455.75,10805.37,10552.76,10472.42,10733.68,10843.19,10981.49,10540.45
Poland,Total - all NACE activities,76720.67,66092.29,64955.15,66125.05,66394.88,66676.69,65312.91,62576.27,64416.1,67196.15
Portugal,Total - all NACE activities,11724.9,10721.8,10651,9763,9865.7,9871.2,10124,10063.5,10004.2,10269.88
Romania,Total - all NACE activities,26055.53,23763.39,24528.71,25662.68,23191.16,23784.21,22840.83,23282.58,23271.28,23116.43
Slovenia,Total - all NACE activities,2419.22,2442.46,2400.87,2425.99,2429.79,2333.34,2384.48,2461.99,2506,2422.97
Slovakia,Total - all NACE activities,9386.99,8306.21,7783.26,6481.69,6311.73,6100.62,6451.43,6106.79,6371.99,6319.39
Finland,Total - all NACE activities,19747.64,16951.21,15580,15212.63,15131.36,15349.15,15498.64,15547.25,15419.91,15332.49
Sweden,Total - all NACE activities,16258.57,15565.09,16166.82,16257.16,14776.1,15366.36,15814.94,15443.57,15606.79,15686.68
United Kingdom,Total - all NACE activities,74453.62,69034.6,70191.68,67565.26,67324.46,66317.66,68439.93,67309.42,66820.8,67895.08
Iceland,Total - all NACE activities,259.97,260.28,255.18,255.38,251.52,258.06,266.08,279.85,298.48,-1
Norway,Total - all NACE activities,10894.27,9032.42,8780.17,8695.35,8685.68,8532.18,8555,8687.43,8403.93,-1
Switzerland,Total - all NACE activities,7792.97,7657.09,7816.06,7686.83,7627.66,7483.78,7563.9,7421.48,7467.05,-1
Serbia,Total - all NACE activities,-1,-1,3284.73,3725.88,3884.97,4080.67,3309.2,-1,-1,-1
Turkey,Total - all NACE activities,75340.81,81673.35,84333.91,87534.39,89916.51,95398.89,95363.79,97164.07,104344.25,-1
EU28,"Agriculture, forestry and fishing",613478.19,598292.89,595935.73,601538.62,597138.57,606040.28,616742.06,613107.84,612740.4,618602.7
Belgium,"Agriculture, forestry and fishing",14100.36,14374.93,14073.24,13937.78,13455.22,13674.32,14049.83,13760.66,13171.1,13172.22
Bulgaria,"Agriculture, forestry and fishing",7179.01,7007.11,8067.34,7298.75,7728.09,8484.46,7506.27,7606.7,8322.36,8254.54
Czechia,"Agriculture, forestry and fishing",11095.3,10486.02,10276.22,10932.35,10394.97,10901.01,11505.28,11352,12179.44,11931.84
Denmark,"Agriculture, forestry and fishing",16561.73,15996.18,15563.42,15688.29,15463.07,15320.41,15829.95,15767.65,16040.74,16073.52
Germany,"Agriculture, forestry and fishing",99995.48,96699.93,95926.34,101167.27,99571.68,101211.1,103954.52,105404.63,102630.06,103076.05
Estonia,"Agriculture, forestry and fishing",2139.6,1963.51,1962.77,2009.56,2189.53,2178.36,2311.17,2403,2273.85,2371.9
Ireland,"Agriculture, forestry and fishing",19700.03,19174.01,20306.55,18949.96,19512.68,20982.41,20434.96,20446,20844.73,21802.67
Greece,"Agriculture, forestry and fishing",13634.95,12810.73,13494.18,12813.99,12028.77,12118.78,11363.27,11149.06,11359.2,10375.59
Spain,"Agriculture, forestry and fishing",36797.67,37122.5,39675.13,37975.15,37072.11,39495.39,41886.9,42156.61,41082.87,42798.8
France,"Agriculture, forestry and fishing",127821.63,125745.58,123269.58,121577.02,123095.81,122025.63,126039.48,124637.09,122231.83,122343.17
Croatia,"Agriculture, forestry and fishing",5154.59,4803.79,4491.81,4769.94,4590.08,4224.72,3968.82,4169.77,4377.27,4125.89
Italy,"Agriculture, forestry and fishing",42098.74,39569.06,38477.51,39759.97,41245.98,38445.95,37764.62,37718.09,39326.53,39602.7
Cyprus,"Agriculture, forestry and fishing",708.21,695.5,747.49,702.39,690.66,624.56,609.94,629.05,646.88,647.97
Latvia,"Agriculture, forestry and fishing",5175,5195.95,5287.16,5240.12,5455.36,5494.31,5587.44,5784.13,5740.01,5754.66
Lithuania,"Agriculture, forestry and fishing",7409,7759.15,7782.48,7957.52,8285.87,8295.52,8790.78,8985.62,8671.61,8706.82
Luxembourg,"Agriculture, forestry and fishing",782.82,786.22,792.75,812.65,779.58,796.48,782.38,796.71,821.31,759.43
Hungary,"Agriculture, forestry and fishing",11670.31,10677.76,10476.65,11148.84,10982.27,12084.69,12427.45,12717.93,13324.44,14007.82
Malta,"Agriculture, forestry and fishing",94.88,88.66,84.78,79.52,83.48,83.18,82.25,79.13,75.51,78.1
Netherlands,"Agriculture, forestry and fishing",21976.12,21044.59,20996.91,20292.15,19730.48,20366.82,20611.16,21219.55,21175.29,21132.3
Austria,"Agriculture, forestry and fishing",8763.7,8578.96,8107.95,8497.42,8353.47,8271.05,8609.85,8583.14,8879.63,8430.16
Poland,"Agriculture, forestry and fishing",56181.44,54945.2,53221.03,54643.02,54439.47,55633.24,54768.21,51726.29,53188.36,56184.09
Portugal,"Agriculture, forestry and fishing",7881,7694.6,7663.3,7632.9,7841.2,7999.4,8211.6,8056.3,8006.7,8170.28
Romania,"Agriculture, forestry and fishing",19128.77,18522.89,17580.24,18618.66,16875.72,19239.57,18677.97,19279.11,19359.51,19230.27
Slovenia,"Agriculture, forestry and fishing",1891,1934.47,1904.1,1854.85,1823.49,1804.83,1898.86,1912.26,1914.36,1910.09
Slovakia,"Agriculture, forestry and fishing",2972.34,2737.11,2791.81,2963.7,3079.96,3237.73,3526.73,3305.75,3562.61,3235.64
Finland,"Agriculture, forestry and fishing",12341.63,12237.95,12580.27,12407.21,12328.71,12366.8,12612.62,12555.99,12457.34,12452.63
